sol,min_temp,max_temp
492,178.95049999999998,263.2575
493,178.61700000000002,261.5475
494,177.7785,261.536
495,179.48399999999998,262.66549999999995
496,178.93200000000002,262.21
497,178.925,263.695
498,178.99450000000002,261.706
499,179.017,261.87149999999997
500,179.5665,263.5315
501,180.0665,263.4125
502,179.5105,262.946
503,179.7335,263.4205
504,179.755,263.8445
505,179.4595,263.425
506,180.0795,265.3855
507,181.43200000000002,264.247
508,181.3515,265.079
509,180.1815,264.1925
510,180.41699999999997,264.74850000000004
511,180.1705,264.5815
512,180.7095,266.10900000000004
513,180.5615,267.918
514,181.04899999999998,265.29200000000003
515,179.643,266.19100000000003
516,180.30200000000002,267.48900000000003
517,180.599,268.3375
518,180.10399999999998,266.7155
519,180.87099999999998,267.06100000000004
520,180.6165,266.399
521,180.1875,267.6305
522,180.414,267.3575
523,180.29250000000002,266.3095
524,180.983,269.35900000000004
525,179.647,268.506
526,179.495,266.496
527,180.3195,269.9505
528,180.0245,265.48400000000004
529,180.179,268.6535
530,180.81,267.97450000000003
531,179.977,265.946
532,180.39749999999998,267.918
533,180.518,264.807
534,180.501,269.625
535,182.23899999999998,267.87850000000003
536,181.84699999999998,265.054
537,180.69099999999997,268.7305
538,181.42700000000002,267.952
539,180.9015,263.98699999999997
540,181.257,269.563
541,181.669,267.351
542,181.032,269.62649999999996
543,180.345,264.59000000000003
544,181.41750000000002,263.6425
545,180.9125,266.3065
546,180.659,264.79200000000003
547,181.303,265.068
548,182.23950000000002,264.303
549,181.577,266.68399999999997
550,181.239,269.73850000000004
551,181.1085,267.6245
552,182.084,264.666
553,182.19400000000002,266.0665
554,181.1795,264.613
555,182.368,265.2635
556,182.4835,263.658
557,181.5275,266.693
558,182.499,263.69849999999997
559,182.57999999999998,266.48400000000004
560,181.897,259.39750000000004
561,183.5635,262.5225
562,183.969,257.6965
563,183.964,263.905
564,184.086,264.17100000000005
565,183.81150000000002,265.94
566,184.97,263.8035
567,184.8645,243.37099999999998
577,192.918,262.06949999999995
578,185.2385,260.7215
579,184.9975,264.351
580,184.66899999999998,260.024
581,184.79199999999997,260.572
582,184.335,262.5965
583,184.464,259.08050000000003
584,184.47500000000002,258.183
585,184.245,258.898
586,185.02100000000002,260.338
587,184.255,259.0025
588,184.21699999999998,258.0175
589,183.274,258.51099999999997
590,183.346,256.267
591,182.2335,256.026
592,181.401,256.2335
593,181.7375,253.88099999999997
594,181.6445,254.7285
595,181.467,256.3825
596,182.62650000000002,256.131
597,182.42200000000003,254.65449999999998
598,181.75150000000002,254.3865
599,181.566,191.2335
600,189.7955,259.823
601,181.9795,257.3915
602,181.959,259.507
603,190.186,199.4235
604,182.409,254.8005
605,180.6295,253.993
606,179.145,254.0215
607,180.14249999999998,254.0555
608,180.228,252.72899999999998
609,180.2995,254.3385
610,179.736,254.6615
611,179.5395,254.473
612,180.5515,191.612
633,190.89600000000002,255.0595
634,178.7855,253.63400000000001
635,178.3565,253.48700000000002
636,178.782,254.743
637,178.898,251.4965
638,178.6495,256.286
639,177.66899999999998,258.21799999999996
640,178.678,260.91200000000003
641,178.0125,258.172
642,178.591,255.685
643,177.6895,255.513
644,177.1365,254.188
645,177.93599999999998,255.3765
646,177.3875,255.7625
647,177.29149999999998,256.10400000000004
648,176.483,254.70850000000002
649,177.6325,252.69199999999998
650,177.5965,252.47650000000002
651,176.70350000000002,254.06
652,177.26749999999998,255.8855
653,177.1595,256.202
654,177.562,256.198
655,178.1765,254.9445
656,176.1825,253.1695
657,176.132,252.84949999999998
658,176.948,254.4985
659,177.1135,256.5605
660,177.373,259.2305
661,176.8595,257.34450000000004
662,176.31799999999998,254.91000000000003
663,176.644,254.307
664,177.05,255.31
665,177.60500000000002,257.84299999999996
666,176.9605,256.4085
667,176.507,259.834
668,176.776,255.21249999999998
669,177.8995,254.833
670,177.68099999999998,255.34550000000002
671,177.3635,258.698
672,176.5275,261.363
673,176.853,258.7315
674,177.661,258.879
675,176.6605,256.1355
676,176.4785,254.564
677,176.024,254.626
678,175.62099999999998,259.30150000000003
679,176.853,259.8535
680,176.6755,256.353
681,,
682,,
683,191.4835,197.6415
684,177.9075,254.10500000000002
685,176.119,256.92499999999995
686,176.072,197.565
687,190.75650000000002,248.632
688,177.83999999999997,256.9045
689,176.554,253.37650000000002
690,176.5475,255.8875
691,176.3245,255.037
692,176.4905,260.155
693,177.034,249.8755
694,191.452,258.80600000000004
695,176.9615,257.29650000000004
696,181.143,193.459
697,190.472,256.4455
698,176.9665,256.225
699,175.74599999999998,259.4325
700,176.851,255.543
701,176.726,249.6495
702,177.547,261.414
703,177.445,258.0475
704,176.4355,258.881
705,178.82299999999998,259.8205
706,180.3235,257.0745
707,180.2335,257.4595
708,180.154,258.746
735,188.7375,244.53
736,178.93900000000002,258.523
737,,
738,,
739,,
740,,
741,,
754,,
755,,
756,,
757,,
761,,
782,,
793,,
794,,
843,220.7015,248.561
850,216.83249999999998,249.57750000000001
856,191.6295,249.7255
859,184.08249999999998,216.1655
860,172.059,184.89999999999998
861,236.7465,249.63400000000001
862,175.8865,197.7275
863,214.505,242.99450000000002
865,185.0865,191.57150000000001
866,175.2945,186.06799999999998
867,185.118,190.4505
868,175.3715,186.188
870,231.4815,241.8595
876,192.68650000000002,246.913
877,233.194,241.27550000000002
878,186.1465,248.16649999999998
880,186.7735,246.0795
882,189.85750000000002,246.442
884,183.996,243.1595
885,176.5675,185.5025
886,183.16899999999998,189.286
887,180.726,183.983
888,182.1245,188.33800000000002
889,181.0195,184.606
893,196.3405,245.5445
894,178.562,222.3395
895,173.9385,184.24450000000002
897,229.6395,242.48450000000003
911,230.599,240.3365
915,234.2905,238.9425
939,233.149,240.3985
965,218.15800000000002,239.7785
1056,184.4155,245.98399999999998
1057,175.4485,201.333
1058,175.495,222.016
1059,211.38,252.1485
1061,206.5365,252.3455
1074,190.596,254.8105
1076,183.511,192.4445
1077,172.9205,184.304
1081,175.336,256.7885
1082,174.55349999999999,184.019
1083,184.713,225.03050000000002
1084,181.248,186.299
1085,186.486,190.6015
1086,178.5375,256.75649999999996
1087,179.30599999999998,257.116
1095,186.4445,196.0965
1096,179.538,258.0895
1097,186.0255,198.7845
1098,180.0405,258.4355
1099,181.34449999999998,258.318
1137,249.493,263.061
1138,186.47,199.5285
1139,185.1015,187.988
1140,180.383,191.6125
1143,236.6895,261.7275
1148,190.172,249.9705
1149,181.76999999999998,191.987
1150,181.945,263.703
1151,184.8165,189.832
1153,208.8425,260.279
1154,252.51,263.6015
1161,189.0885,200.5515
1162,182.99,190.7995
1166,201.83499999999998,265.02099999999996
1168,181.32,261.01
1171,197.81150000000002,263.277
1173,189.352,265.4715
1174,181.5505,234.655
1185,190.46699999999998,201.582
1186,181.1565,191.7
1192,206.75900000000001,269.03049999999996
1195,181.475,260.5125
1197,198.45499999999998,270.0925
1199,188.13799999999998,204.36950000000002
1200,183.10399999999998,225.6475
1212,207.48899999999998,268.7695
1213,190.4925,258.372
1214,181.774,209.966
1217,191.26,262.4355
1218,182.803,192.32049999999998
1219,191.3245,262.957
